cod_proposta;cod_cliente;cod_colaborador;data_entrada_proposta;horario_entrada_proposta;taxa_juros_mensal;valor_proposta;valor_financiamento;valor_entrada;valor_prestacao;quantidade_parcelas;carencia;status_proposta
669;82;1;21/11/2010;13:14:49;0.0196;148806.31;234174.16;85367.85;3383.88;102;3;Aprovada
1837;341;1;07/03/2015;05:40:35;0.0138;161162.29;228485.39;67323.10;3701.83;67;6;Aprovada
214;502;2;25/09/2012;11:50:19;0.0097;76659.01;133066.12;56407.11;2188.84;43;6;Aprovada
596;266;2;05/07/2022;17:39:02;0.0242;131492.08;206480.64;74988.56;45969.01;3;5;Aprovada
1021;790;2;29/03/2010;17:44:55;0.0093;83080.83;140314.25;57233.42;7980.75;11;4;Aprovada
1156;669;2;03/11/2022;05:06:09;0.0201;7234.21;10905.53;3671.32;210.46;59;6;Aprovada
1735;725;2;21/11/2016;07:39:18;0.0088;86125.76;143359.53;57233.77;1323.79;97;3;Aprovada
337;566;3;18/12/2022;20:55:58;0.008;69848.71;127319.85;57471.14;2628.11;30;4;Aprovada
563;435;3;29/12/2014;06:35:43;0.0183;98018.24;163214.64;65196.40;3602.03;38;5;Aprovada
938;154;3;18/02/2014;18:05:26;0.0242;188729.37;242187.95;53458.58;6137.94;57;0;Aprovada
1499;986;3;23/11/2011;08:50:33;0.009;9742.68;14569.05;4826.37;134.36;118;6;Aprovada
1500;673;3;25/07/2017;11:03:15;0.0237;153458.11;186909.25;33451.14;4167.44;88;1;Aprovada
1804;659;3;17/12/2012;04:00:05;0.0143;110462.59;187926.74;77464.15;3645.43;40;3;Aprovada
152;569;4;03/09/2015;17:27:44;0.01;102555.08;151511.08;48956.00;5683.12;20;2;Aprovada
785;644;5;05/01/2021;12:43:09;0.0111;100312.23;142248.96;41936.73;1768.19;90;6;Aprovada
1185;535;5;01/08/2017;09:47:51;0.0225;121875.12;145161.31;23286.19;16816.89;8;5;Aprovada
1391;740;5;28/01/2021;07:57:09;0.0193;10855.04;17090.85;6235.81;255.17;90;3;Aprovada
1908;380;5;13/11/2012;03:46:19;0.0239;2709.30;3343.00;633.70;96.58;47;4;Aprovada
614;826;6;27/08/2010;17:11:37;0.0121;44364.98;53280.04;8915.06;811.83;90;6;Aprovada
1386;897;6;22/08/2018;19:58:57;0.0088;47721.43;63892.83;16171.40;2738.49;19;0;Aprovada
1958;643;6;28/12/2015;22:10:38;0.0091;158198.87;190935.60;32736.73;2975.52;73;1;Aprovada
13;112;7;21/08/2021;03:04:37;0.0217;944.01;1652.35;708.34;22.34;116;6;Aprovada
899;186;7;07/07/2018;04:36:14;0.0151;81940.15;127497.71;45557.56;2230.04;54;4;Aprovada
1069;304;7;22/01/2022;22:34:40;0.0164;101745.77;142646.60;40900.83;2052.98;103;6;Aprovada
1800;382;7;23/08/2021;13:43:00;0.0153;79373.67;138677.79;59304.12;27271.60;3;4;Aprovada
265;481;8;24/09/2019;00:31:23;0.0127;2721.37;3718.44;997.07;52.19;86;4;Aprovada
666;626;8;16/04/2013;09:22:43;0.0081;16701.13;21132.31;4431.18;452.74;44;4;Aprovada
101;827;9;29/12/2015;15:40:59;0.0179;23780.28;38218.77;14438.49;516.43;98;3;Aprovada
746;92;9;01/12/2011;03:32:56;0.0246;75780.24;108197.34;32417.10;2053.98;98;4;Aprovada
1705;585;9;30/04/2020;19:05:21;0.0245;104978.22;157068.88;52090.66;2843.76;97;0;Aprovada
164;59;10;04/08/2015;08:33:35;0.0213;71884.51;123637.15;51752.64;2299.75;52;6;Aprovada
379;797;10;16/05/2022;01:00:15;0.0186;30567.29;57420.05;26852.76;702.26;90;2;Aprovada
417;126;10;25/04/2020;18:08:17;0.0249;133251.20;192758.12;59506.92;3889.02;78;0;Aprovada
453;586;10;17/09/2013;00:09:56;0.0129;77458.86;146368.08;68909.22;2000.44;54;1;Aprovada
479;160;10;03/04/2012;13:54:13;0.0115;106241.69;129159.36;22917.67;2070.41;78;4;Aprovada
542;344;10;18/01/2019;10:44:28;0.0197;64202.22;118357.50;54155.28;1817.78;61;0;Aprovada
585;433;10;30/05/2012;12:54:53;0.0161;43340.19;68132.12;24791.93;871.41;101;3;Aprovada
1485;534;10;16/06/2012;13:42:10;0.0193;23033.62;34129.87;11096.25;781.60;44;0;Aprovada
1496;844;10;29/09/2011;00:33:30;0.0102;83829.25;150136.05;66306.80;1247.27;114;0;Aprovada
1529;64;10;24/08/2015;13:23:03;0.0172;125748.13;228795.46;103047.33;2756.97;90;4;Aprovada
1567;322;10;16/06/2018;22:36:34;0.0099;99162.61;123829.91;24667.30;5489.60;20;1;Aprovada
1629;989;10;04/07/2015;06:01:40;0.0111;93795.29;147038.79;53243.50;1517.18;105;5;Aprovada
558;304;11;09/08/2012;01:20:06;0.0093;50138.23;64454.53;14316.30;2639.31;21;6;Aprovada
1007;477;11;28/06/2019;23:35:10;0.0195;21308.41;38455.19;17146.78;715.60;45;0;Aprovada
1348;166;11;30/06/2011;02:33:11;0.0085;187368.86;247972.70;60603.84;7795.66;27;3;Aprovada
1698;974;11;02/07/2010;04:01:02;0.0134;102374.26;181186.45;78812.19;1830.28;104;0;Aprovada
401;381;12;18/09/2018;04:40:05;0.0209;153936.07;220403.96;66467.89;14636.71;12;5;Aprovada
364;124;13;16/01/2018;00:59:56;0.0089;118005.01;140398.05;22393.04;3137.42;46;5;Aprovada
680;305;13;13/05/2010;14:01:20;0.0142;125941.00;152157.33;26216.33;32610.86;4;2;Aprovada
1109;868;13;06/09/2013;13:39:17;0.0232;82474.21;104582.66;22108.45;4384.72;25;3;Aprovada
1176;185;13;22/05/2012;15:58:45;0.0225;45004.70;87601.63;42596.93;1212.58;81;6;Aprovada
1323;250;13;27/06/2022;21:44:35;0.0208;35073.08;61732.16;26659.08;886.86;84;5;Aprovada
1338;89;13;26/05/2016;10:10:01;0.0168;1544.23;2686.85;1142.62;42.31;57;2;Aprovada
148;977;14;03/05/2016;07:39:34;0.0185;21409.03;33942.43;12533.40;509.37;82;3;Aprovada
390;731;14;13/08/2016;09:15:47;0.0221;44905.60;82678.99;37773.39;1585.16;45;6;Aprovada
597;278;14;13/02/2014;05:32:13;0.0155;153339.02;184273.02;30934.00;6114.36;32;4;Aprovada
1033;317;14;11/11/2020;02:05:05;0.0125;95334.49;131387.49;36053.00;1620.64;107;0;Aprovada
1855;326;14;17/12/2021;08:09:29;0.0246;77958.77;132052.36;54093.59;2386.11;67;0;Aprovada
1962;325;14;21/12/2013;15:52:35;0.0231;96168.13;181788.59;85620.46;49756.52;2;3;Aprovada
1977;795;14;23/01/2016;19:08:53;0.0246;149018.71;238371.53;89352.82;7826.38;26;4;Aprovada
477;42;15;23/12/2013;02:18:55;0.0242;127838.93;186532.25;58693.32;9261.93;17;6;Aprovada
879;940;15;13/05/2013;11:59:03;0.0216;31742.21;55718.26;23976.05;789.28;95;3;Aprovada
1308;390;15;15/03/2021;17:13:43;0.0097;38900.42;57310.90;18410.48;1070.92;45;4;Aprovada
1568;775;15;11/09/2011;19:27:48;0.0204;142948.14;237373.46;94425.32;3247.66;113;0;Aprovada
376;772;16;23/02/2016;21:43:40;0.0081;132611.90;249769.01;117157.11;3184.55;51;0;Aprovada
924;84;16;21/12/2017;18:48:42;0.0097;102240.19;160986.94;58746.75;1565.31;104;1;Aprovada
948;283;16;30/08/2021;05:16:24;0.0204;16374.68;25075.10;8700.42;567.37;44;3;Aprovada
962;72;16;10/10/2020;16:15:03;0.0185;1649.37;2180.78;531.41;42.21;70;1;Aprovada
1135;658;16;17/01/2019;19:51:56;0.0108;53655.20;84533.02;30877.82;27262.99;2;4;Aprovada
422;767;17;13/05/2011;19:45:21;0.0177;108673.57;192219.73;83546.16;5417.15;25;2;Aprovada
1290;701;17;25/02/2020;06:37:03;0.0092;42093.66;65760.97;23667.31;670.94;94;6;Aprovada
1912;740;17;26/05/2016;17:59:59;0.0159;161208.88;217634.61;56425.73;7865.12;25;0;Aprovada
1923;283;17;08/12/2015;22:10:31;0.0122;90461.32;123554.84;33093.52;3833.41;28;4;Aprovada
56;692;18;27/12/2019;22:55:29;0.0126;37945.86;64943.69;26997.83;2792.17;15;3;Aprovada
476;255;18;18/06/2022;23:21:12;0.0228;54108.81;73240.14;19131.33;2635.71;28;1;Aprovada
503;445;18;09/02/2014;10:10:20;0.0197;22005.79;37966.99;15961.20;3000.12;8;0;Aprovada
608;765;18;23/03/2015;18:00:36;0.0212;37628.03;45367.34;7739.31;1362.05;42;0;Aprovada
793;677;18;02/07/2021;08:38:23;0.0088;182648.99;227647.20;44998.21;5326.09;41;0;Aprovada
900;29;18;18/10/2011;17:50:52;0.0201;32170.92;62254.76;30083.84;2371.27;16;4;Aprovada
1098;456;18;25/05/2013;07:37:01;0.0227;73201.54;95229.01;22027.47;1782.23;120;6;Aprovada
1187;86;18;17/12/2020;04:14:39;0.0205;127345.90;162276.53;34930.63;3399.15;72;1;Aprovada
1565;954;18;29/05/2016;22:28:51;0.0154;130883.38;173686.83;42803.45;4184.57;43;1;Aprovada
1651;701;18;28/11/2012;06:18:36;0.0178;146684.84;186257.79;39572.95;3414.54;82;0;Aprovada
36;417;19;23/11/2014;10:33:37;0.0109;28777.16;35598.90;6821.74;584.28;71;4;Aprovada
1200;496;19;15/08/2015;04:40:56;0.0189;10287.98;13308.56;3020.58;224.11;108;1;Aprovada
1328;483;19;26/05/2019;07:29:16;0.0156;25382.65;47916.56;22533.91;1125.82;28;2;Aprovada
345;17;20;06/11/2022;18:59:43;0.0115;60101.06;71835.44;11734.38;2003.55;37;6;Aprovada
485;338;20;30/03/2021;08:59:12;0.0246;142181.29;213555.40;71374.11;4019.60;84;1;Aprovada
718;8;20;31/08/2015;17:07:51;0.0198;2441.85;4169.50;1727.65;53.77;117;5;Aprovada
969;249;20;19/11/2022;02:07:57;0.0178;58196.38;78917.69;20721.31;1686.25;54;4;Aprovada
1059;664;20;13/02/2015;08:23:23;0.013;130742.02;241005.07;110263.05;7465.87;20;1;Aprovada
1165;762;20;05/09/2021;10:11:36;0.0229;91244.25;174521.30;83277.05;2769.98;62;2;Aprovada
1366;873;20;20/12/2015;17:55:07;0.0151;70207.37;86108.79;15901.42;1359.31;101;0;Aprovada
140;383;21;26/09/2014;23:28:51;0.0159;124861.41;189588.52;64727.11;2394.46;112;1;Aprovada
867;467;21;13/11/2013;21:05:12;0.01;79939.94;159313.51;79373.57;2386.29;41;3;Aprovada
1158;985;21;28/02/2022;18:30:43;0.0189;82772.42;128290.86;45518.44;3322.05;34;4;Aprovada
1265;16;21;29/01/2022;05:42:08;0.0222;74746.45;114570.17;39823.72;2024.58;78;1;Aprovada
1456;937;21;14/05/2013;07:59:02;0.0206;22199.42;38132.46;15933.04;542.07;91;2;Aprovada
1720;418;21;01/02/2011;18:03:20;0.0083;145031.99;234466.30;89434.31;8707.53;18;1;Aprovada
1819;930;21;25/01/2011;16:06:19;0.0152;63930.41;76288.84;12358.43;1337.11;86;1;Aprovada
1886;422;21;27/08/2019;10:42:26;0.0164;151729.73;234388.14;82658.41;3162.78;95;4;Aprovada
207;799;22;21/03/2022;07:33:13;0.0112;161775.67;206714.34;44938.67;3199.69;75;2;Aprovada
404;47;22;13/10/2018;02:02:03;0.0113;128596.07;246726.47;118130.40;2431.85;81;5;Aprovada
441;831;22;06/03/2012;21:29:25;0.0128;41662.14;49729.71;8067.57;967.40;63;1;Aprovada
1175;230;22;01/05/2015;17:02:44;0.0207;26189.27;41339.86;15150.59;600.18;114;0;Aprovada
1693;171;22;09/06/2022;07:29:31;0.0172;137832.32;200827.95;62995.63;3895.53;55;2;Aprovada
1900;111;22;30/10/2019;05:15:55;0.0153;21407.75;39079.51;17671.76;404.91;109;1;Aprovada
1960;789;22;27/02/2020;11:47:44;0.0141;94618.14;139340.00;44721.86;1711.35;108;5;Aprovada
103;545;23;12/10/2020;23:19:47;0.0241;59138.72;87311.69;28172.97;2141.25;46;4;Aprovada
212;284;23;05/04/2010;23:29:04;0.014;41714.96;71742.40;30027.44;7297.11;6;2;Aprovada
394;228;23;29/01/2022;18:25:44;0.0214;136501.84;215503.84;79002.00;6708.51;27;4;Aprovada
492;934;23;20/07/2013;14:08:38;0.0195;50523.56;94411.57;43888.01;1590.97;50;0;Aprovada
644;262;23;30/05/2014;21:29:15;0.0187;4841.48;6072.16;1230.68;197.93;33;6;Aprovada
646;865;23;28/05/2019;12:32:52;0.0216;56963.56;79022.68;22059.12;1407.51;97;3;Aprovada
1117;163;23;31/05/2022;00:13:10;0.0095;122068.51;186353.63;64285.12;18107.28;7;6;Aprovada
1346;564;23;16/10/2019;18:06:37;0.0185;1338.95;2252.54;913.59;35.03;67;6;Aprovada
1359;178;23;09/04/2020;20:22:33;0.0227;93336.67;172384.14;79047.47;2742.03;66;1;Aprovada
1813;607;23;11/06/2010;21:10:42;0.0155;176121.08;249974.50;73853.42;3554.33;95;6;Aprovada
232;31;24;12/07/2016;02:25:24;0.0206;6717.59;10247.01;3529.42;216.48;50;6;Aprovada
410;235;24;23/11/2010;13:19:06;0.0174;105045.03;195552.16;90507.13;18589.04;6;0;Aprovada
539;66;24;05/09/2016;11:44:56;0.0192;119049.78;165184.97;46135.19;2661.01;103;3;Aprovada
844;103;24;25/03/2021;03:03:51;0.0244;83759.77;112593.50;28833.73;2245.25;100;3;Aprovada
869;742;24;09/09/2010;06:15:00;0.0116;115173.42;156347.13;41173.71;2327.30;74;6;Aprovada
1057;345;24;02/12/2018;11:26:32;0.0121;89573.82;133208.94;43635.12;1629.13;91;6;Aprovada
1089;539;24;15/12/2022;03:49:02;0.0234;188744.63;235327.59;46582.96;5980.02;58;5;Aprovada
1296;76;24;18/10/2019;16:45:06;0.0113;128762.56;212397.11;83634.55;8367.64;17;6;Aprovada
1505;8;24;12/04/2010;11:33:17;0.0219;67263.72;114766.43;47502.71;1865.08;72;3;Aprovada
799;618;25;23/08/2018;13:16:19;0.0179;2906.22;3695.82;789.60;62.65;100;6;Aprovada
1365;710;25;04/04/2020;01:23:26;0.0115;37744.22;69065.94;31321.72;713.39;82;5;Aprovada
1812;507;25;13/04/2022;21:51:20;0.0243;142957.99;169267.55;26309.56;9483.70;19;4;Aprovada
1852;129;25;25/01/2012;08:18:28;0.0214;50533.37;59810.97;9277.60;1295.62;85;3;Aprovada
1916;649;25;01/08/2017;22:41:54;0.017;185615.91;239372.09;53756.18;39037.74;5;2;Aprovada
1999;172;25;23/09/2018;18:10:17;0.0218;175384.05;231785.51;56401.46;8026.03;30;1;Aprovada
551;430;26;10/07/2013;20:41:18;0.0106;58362.56;81052.49;22689.93;1023.20;88;6;Aprovada
1626;513;26;09/06/2014;05:47:59;0.0086;137529.13;214897.57;77368.44;8730.40;17;2;Aprovada
29;538;27;15/08/2017;14:03:52;0.024;171981.10;246294.43;74313.33;4520.45;103;4;Aprovada
229;84;27;30/08/2015;05:42:17;0.0237;118458.24;228609.83;110151.59;3427.41;73;2;Aprovada
796;130;27;22/11/2013;04:33:04;0.0245;47842.76;72629.65;24786.89;1498.23;63;6;Aprovada
866;755;27;10/01/2018;10:51:26;0.0118;60983.76;73423.36;12439.60;61703.37;1;0;Aprovada
1609;462;27;22/03/2014;17:34:07;0.0132;127976.70;199943.62;71966.92;2185.99;113;4;Aprovada
1633;777;27;19/10/2020;11:04:57;0.0148;114343.15;184175.48;69832.33;3675.16;42;1;Aprovada
1014;892;28;01/06/2013;16:23:06;0.0186;70984.26;128636.52;57652.26;1809.22;71;6;Aprovada
1027;531;28;17/12/2016;12:43:27;0.0165;88808.13;155708.91;66900.78;2165.38;69;6;Aprovada
1465;528;28;01/08/2020;04:30:13;0.0147;74060.95;133815.42;59754.47;2462.11;40;2;Aprovada
1632;353;28;11/04/2014;14:33:47;0.0163;55065.81;82963.36;27897.55;3393.49;19;5;Aprovada
244;897;29;06/05/2010;16:37:46;0.0193;166883.00;215072.28;48189.28;3779.63;100;1;Aprovada
415;809;29;05/10/2013;01:52:30;0.0147;14248.82;25973.56;11724.74;399.04;51;4;Aprovada
661;322;29;07/06/2016;05:12:20;0.0197;27437.23;41036.39;13599.16;951.95;43;6;Aprovada
1490;343;29;15/04/2019;20:24:05;0.0128;64058.78;81232.93;17174.15;1536.09;60;2;Aprovada
1844;194;29;31/07/2022;01:48:53;0.0183;33538.98;62563.05;29024.07;1005.28;52;3;Aprovada
344;321;30;08/01/2016;13:45:59;0.0084;106031.55;131782.86;25751.31;1613.43;96;2;Aprovada
717;745;30;31/08/2019;16:50:05;0.0205;160500.60;205409.47;44908.87;4942.34;54;3;Aprovada
1395;113;30;21/08/2012;12:34:22;0.0105;174234.15;219599.10;45364.95;3204.52;81;5;Aprovada
1525;38;30;11/05/2010;13:57:51;0.0238;82323.93;159786.54;77462.61;2250.03;87;1;Aprovada
517;214;31;16/12/2016;00:37:43;0.0118;111572.82;153338.99;41766.17;1756.61;118;0;Aprovada
571;91;31;12/03/2013;01:04:48;0.0212;166245.34;234298.09;68052.75;4067.23;96;4;Aprovada
632;27;31;08/03/2018;03:56:29;0.0231;51916.82;97820.47;45903.65;1292.81;115;1;Aprovada
1947;25;31;13/10/2019;04:55:16;0.0155;38412.70;57038.14;18625.44;925.70;67;2;Aprovada
127;543;32;30/03/2010;19:16:31;0.0237;105249.32;190305.51;85056.19;107743.73;1;1;Aprovada
241;622;32;29/05/2020;09:53:02;0.0249;138378.45;210778.11;72399.66;4730.20;53;0;Aprovada
532;233;32;19/06/2010;10:22:36;0.0201;82398.31;162916.81;80518.50;1957.74;94;3;Aprovada
807;198;32;12/08/2019;10:18:04;0.0211;122758.14;144641.60;21883.46;7032.49;22;3;Aprovada
1307;456;32;17/04/2010;20:23:09;0.022;40720.83;55404.42;14683.59;981.65;112;4;Aprovada
1704;469;32;28/12/2019;08:48:19;0.0107;88559.03;126308.79;37749.76;4203.61;24;6;Aprovada
1801;245;32;15/08/2014;14:10:10;0.0106;113789.99;164380.18;50590.19;2116.79;80;1;Aprovada
330;621;33;10/11/2017;20:03:05;0.0164;11082.10;16645.08;5562.98;297.59;58;4;Aprovada
367;119;33;20/05/2018;15:41:42;0.0159;146630.94;184393.24;37762.30;3635.27;65;2;Aprovada
611;483;33;30/07/2016;09:42:14;0.0119;137328.72;179932.71;42603.99;2381.19;98;3;Aprovada
630;507;33;14/09/2018;07:13:05;0.0173;117524.96;153134.66;35609.70;2389.14;111;2;Aprovada
1273;879;33;18/10/2017;23:41:49;0.0162;46211.83;73390.74;27178.91;905.77;109;4;Aprovada
1761;754;33;28/06/2019;21:41:31;0.0184;99966.57;196939.35;96972.78;5566.62;22;6;Aprovada
30;597;34;12/06/2015;18:00:04;0.0198;6994.27;12559.56;5565.29;660.56;12;0;Aprovada
652;820;34;21/10/2017;01:53:05;0.018;134896.61;235065.04;100168.43;3213.10;79;1;Aprovada
910;674;34;23/04/2022;03:15:25;0.0236;15301.50;19535.75;4234.25;4053.71;4;3;Aprovada
942;996;34;17/07/2017;01:38:56;0.0208;27171.22;39834.81;12663.59;1825.15;18;1;Aprovada
1329;408;34;24/12/2012;15:49:55;0.0114;66375.29;93476.75;27101.46;1723.47;51;0;Aprovada
1449;86;34;19/11/2010;22:12:37;0.0167;71251.06;96174.12;24923.06;1592.74;83;3;Aprovada
625;928;35;07/06/2010;18:21:16;0.0143;96230.70;164544.85;68314.15;16850.67;6;2;Aprovada
773;853;35;30/10/2015;01:22:06;0.0152;52439.15;98620.47;46181.32;964.73;116;1;Aprovada
1150;448;35;17/01/2011;21:57:55;0.0239;177185.45;228871.58;51686.13;9496.32;25;5;Aprovada
220;348;36;20/04/2011;11:20:44;0.0167;140109.12;206360.66;66251.54;2914.90;98;4;Aprovada
531;350;36;22/07/2022;20:55:01;0.0219;30191.21;41208.08;11016.87;1294.52;33;2;Aprovada
1228;178;36;13/07/2020;08:18:58;0.0175;121580.95;150264.55;28683.60;3423.47;56;6;Aprovada
1448;255;36;28/07/2016;11:52:04;0.0126;180840.88;226713.08;45872.20;4413.55;58;0;Aprovada
1887;367;36;29/08/2022;00:32:50;0.0213;155841.28;207527.60;51686.32;5492.07;44;5;Aprovada
169;992;37;04/04/2017;09:33:29;0.0248;143912.43;179264.45;35352.02;4011.39;90;3;Aprovada
514;720;37;08/07/2022;02:07:37;0.0208;175097.39;228404.09;53306.70;4802.24;69;6;Aprovada
688;446;37;11/10/2018;11:22:09;0.0115;160417.47;212662.97;52245.50;41263.96;4;5;Aprovada
995;691;37;06/10/2015;21:20:05;0.0171;38630.93;75077.50;36446.57;950.72;70;0;Aprovada
1093;53;37;03/02/2016;09:45:56;0.0144;22818.67;33318.64;10499.97;692.52;45;5;Aprovada
1316;691;37;29/06/2021;02:13:08;0.0159;32267.98;44016.38;11748.40;660.68;95;4;Aprovada
1440;22;37;25/08/2015;06:44:30;0.018;119168.44;150234.62;31066.18;8199.45;17;5;Aprovada
166;797;38;09/03/2018;21:36:48;0.0131;29005.84;51685.61;22679.77;2441.14;13;4;Aprovada
264;883;38;06/11/2018;13:26:33;0.011;39658.66;51024.31;11365.65;1439.59;33;0;Aprovada
454;767;38;22/03/2021;17:46:56;0.0218;60002.52;117827.92;57825.40;2379.40;37;5;Aprovada
703;508;38;20/01/2014;01:00:47;0.0236;120208.59;189100.49;68891.90;4480.11;43;1;Aprovada
994;117;38;21/03/2019;02:52:55;0.0137;15485.55;24251.63;8766.08;735.73;25;5;Aprovada
1199;454;38;03/07/2015;00:57:37;0.0234;153068.18;186991.14;33922.96;156649.98;1;5;Aprovada
1426;226;38;22/05/2014;23:34:37;0.0157;203774.31;243811.26;40036.95;4675.63;74;6;Aprovada
1752;455;38;30/03/2021;22:07:32;0.0139;109165.30;204223.76;95058.46;5578.01;23;0;Aprovada
208;551;39;02/01/2018;03:48:45;0.0117;42886.30;82355.14;39468.84;768.37;91;6;Aprovada
615;292;39;13/01/2016;07:15:42;0.0118;105203.20;130136.29;24933.09;2121.53;75;3;Aprovada
1723;74;39;05/10/2019;15:46:01;0.0123;9475.49;11149.75;1674.26;221.74;61;0;Aprovada
1746;599;39;05/10/2012;07:22:25;0.0211;10378.52;13825.63;3447.11;364.38;44;1;Aprovada
1834;268;39;28/10/2015;16:09:35;0.0113;108807.51;130524.11;21716.60;1821.75;100;3;Aprovada
159;873;40;15/12/2011;22:35:43;0.0245;61178.43;74835.28;13656.85;4443.33;17;2;Aprovada
1894;850;40;11/02/2015;17:48:22;0.0184;15592.70;19794.48;4201.78;337.59;104;6;Aprovada
429;204;41;31/01/2014;01:43:40;0.0098;6991.14;9489.28;2498.14;103.10;112;5;Aprovada
786;957;41;20/02/2020;02:01:51;0.0211;94878.85;163065.82;68186.97;2362.75;90;1;Aprovada
826;760;41;30/04/2012;02:24:26;0.0149;162257.88;226427.62;64169.74;3054.56;106;5;Aprovada
1461;606;41;07/10/2015;18:41:47;0.0107;49796.93;78784.47;28987.54;25298.80;2;1;Aprovada
445;118;42;18/05/2020;22:01:16;0.0172;33240.82;40267.83;7027.01;663.51;116;2;Aprovada
1239;27;42;06/05/2022;23:32:01;0.0171;21903.30;42712.26;20808.96;453.67;103;6;Aprovada
884;429;43;01/07/2016;05:23:40;0.0102;87781.93;169487.11;81705.18;1277.10;119;3;Aprovada
1174;389;43;10/03/2018;21:33:05;0.0096;45133.66;53404.00;8270.34;1140.82;50;6;Aprovada
1179;659;43;24/07/2013;03:51:56;0.0219;4654.68;7574.38;2919.70;218.53;29;0;Aprovada
1255;636;43;30/04/2016;22:20:22;0.0219;118803.36;202872.82;84069.46;3354.10;69;4;Aprovada
1281;30;43;12/07/2014;15:44:07;0.0181;138998.52;234244.23;95245.71;8015.43;21;6;Aprovada
1843;877;43;31/01/2015;12:45:59;0.0095;14591.99;22214.07;7622.08;320.18;60;6;Aprovada
77;627;44;04/06/2014;02:03:48;0.0118;141470.62;214578.34;73107.72;11802.32;13;6;Aprovada
96;220;44;16/07/2019;10:45:50;0.0188;159669.25;188629.98;28960.73;6537.49;33;1;Aprovada
119;822;44;01/01/2010;10:18:49;0.0181;76158.68;120331.33;44172.65;1830.16;78;6;Aprovada
501;392;44;06/01/2016;01:44:45;0.0156;57012.83;85488.95;28476.12;1244.62;81;1;Aprovada
634;696;45;18/10/2010;06:27:39;0.018;57267.22;94125.29;36858.07;1248.06;98;5;Aprovada
1060;973;45;03/03/2013;12:07:42;0.0181;55162.33;97950.92;42788.59;1193.40;101;1;Aprovada
1347;116;45;22/12/2017;11:22:34;0.0246;168528.93;225773.97;57245.04;5672.93;54;1;Aprovada
1427;483;45;15/09/2010;21:29:54;0.023;79583.05;99754.25;20171.20;2236.81;75;3;Aprovada
343;58;46;27/09/2011;00:04:24;0.0216;97817.89;175932.38;78114.49;3183.27;51;3;Aprovada
1054;844;46;27/07/2014;17:14:46;0.0096;12756.53;24664.06;11907.53;267.71;64;2;Aprovada
1375;95;46;22/07/2022;20:39:18;0.0138;113466.12;158048.23;44582.11;3113.53;51;2;Aprovada
1699;398;46;20/08/2016;11:15:30;0.0243;113319.56;180095.69;66776.13;3508.35;64;5;Aprovada
250;794;47;19/05/2020;03:39:01;0.0155;148973.40;178047.17;29073.77;11207.23;15;0;Aprovada
1010;430;47;05/06/2013;11:43:21;0.0124;14371.03;26635.47;12264.44;576.58;30;3;Aprovada
1410;840;47;04/06/2014;20:30:34;0.0154;189484.99;233508.24;44023.25;4861.29;60;6;Aprovada
1549;658;47;23/11/2020;03:50:19;0.0247;58686.45;110594.38;51907.93;1631.00;90;6;Aprovada
1989;914;47;10/12/2010;09:41:23;0.0196;99503.67;198915.94;99412.27;3003.11;54;2;Aprovada
504;932;48;03/11/2013;22:05:37;0.0225;108235.58;149449.25;41213.67;19486.19;6;0;Aprovada
590;443;48;01/01/2017;19:40:05;0.0142;77985.92;147389.48;69403.56;16267.87;5;4;Aprovada
952;40;48;28/05/2015;01:04:06;0.0169;87516.60;121981.10;34464.50;2403.82;57;5;Aprovada
1104;938;48;25/09/2016;19:11:45;0.0089;99604.28;189103.76;89499.48;1776.55;78;3;Aprovada
1435;699;48;21/03/2014;03:08:24;0.0209;3659.28;4408.73;749.45;89.56;93;1;Aprovada
1479;934;48;07/04/2022;00:51:09;0.01;34973.73;62997.85;28024.12;878.78;51;5;Aprovada
689;80;49;13/05/2011;16:15:02;0.0227;159783.16;201322.86;41539.70;14331.61;13;6;Aprovada
791;542;49;29/02/2016;10:11:10;0.0197;125304.94;188872.35;63567.41;64509.87;2;0;Aprovada
861;261;49;18/08/2019;08:14:47;0.0186;122367.54;181496.90;59129.36;3234.47;66;3;Aprovada
1321;208;49;19/04/2021;23:12:43;0.0144;33511.77;48519.58;15007.81;846.89;59;2;Aprovada
1690;96;49;28/09/2018;23:05:57;0.0229;120462.05;240896.16;120434.11;4115.70;49;4;Aprovada
144;962;50;19/09/2010;00:10:09;0.0226;2424.35;4049.81;1625.46;84.27;47;4;Aprovada
248;650;50;26/04/2013;12:34:24;0.0121;79824.40;125158.15;45333.75;1518.93;84;2;Aprovada
633;856;50;09/03/2022;18:28:51;0.0203;18163.39;32862.38;14698.99;439.27;91;5;Aprovada
90;413;51;11/07/2017;10:38:56;0.0172;72237.78;110221.47;37983.69;5203.04;16;4;Aprovada
358;813;51;29/04/2016;07:28:44;0.0247;48201.85;68406.81;20204.96;1970.07;38;3;Aprovada
690;504;51;04/09/2011;23:17:00;0.0227;147949.08;202456.02;54506.94;5424.83;43;2;Aprovada
1408;660;51;18/08/2021;15:58:09;0.0224;16288.50;20309.99;4021.49;398.99;111;5;Aprovada
280;442;52;02/07/2010;13:05:30;0.0156;93425.41;146359.10;52933.69;2861.27;46;5;Aprovada
293;583;52;17/07/2013;05:07:23;0.0154;109223.76;157513.32;48289.56;7351.67;17;0;Aprovada
